Time,Ping_Original,LEO_Original,Ping_Kalman,LEO_Kalman,Ping_HMM,LEO_HMM,Ping_Keplerian,LEO_Keplerian
0,20.6525888915956,18,21.9950053159775,16,21.5782793569704,137,21.5437797672607,137
10,21.6521625333532,18,21.8069251941345,34,21.0297252798635,137,21.8636343638069,137
20,21.0741184480811,18,20.2829126296443,34,20.1833746783664,137,22.4397007265717,137
30,22.0351223506417,18,18.8430041048177,34,22.1719275539986,137,24.7934654650978,154
40,20.5060358674263,18,18.8833355833545,34,22.1340608810404,154,31.8359972374973,154
50,22.177019700353,18,19.8443823098618,93,24.4925314685112,154,20.4484870094832,154
60,23.0019645438663,18,19.3549007811878,93,20.4396499500853,154,21.7491366861293,154
70,21.7202748251961,18,20.181969383875,93,20.9487959382507,154,20.4748811150687,154
80,22.2106802901153,18,20.5498329032833,17,20.8477142657489,154,22.4296288108725,154
90,22.9201128584131,18,18.5029958256772,17,21.6829061143687,154,21.9417507487864,78
100,22.2920507038462,18,18.7742032152582,17,20.7535549287014,78,20.1752996845383,78
110,23.1063347716067,18,17.2169484902428,17,22.0974699201264,78,20.7775197962844,78
120,25.1647715782354,18,17.1449063719679,17,21.1298477092463,78,21.5045340958196,78
130,20.3874905838685,78,19.4994840185345,17,21.4581405419152,78,21.4444690076176,78
140,20.3724551864729,78,17.7644359352275,317,30.3179677233977,78,21.7773052501646,78
150,21.7677008554855,78,19.5829886318153,317,21.5481085129422,78,22.1999752577516,35
160,21.8697598531609,78,17.9324556154718,317,21.3006312059066,248,21.8629020678602,248
170,22.230978835313,78,20.1259409997765,317,20.2140445124568,248,21.5625036919688,248
180,21.2587880319054,78,20.6496489174168,317,20.3975601154894,248,20.7278143833526,248
190,21.6041239485904,78,20.1903783399786,317,20.364046309594,248,21.7210278790307,231
200,21.4619440287457,78,22.5070764603734,94,19.9429543293248,231,21.7257393089742,231
210,22.6846451200188,78,20.6936489509234,94,21.9687230885662,231,20.0733116683372,231
220,23.2017647752639,78,19.6553463970682,94,22.1174097923901,231,21.0980059764222,231
230,28.5310276938252,78,20.9820177866092,94,22.307859987751,231,21.7450902546904,231
240,23.5013484447403,78,20.817510313621,94,21.2614330587017,231,22.6541163145903,231
250,24.8441135080142,78,19.1443431118615,94,21.3309952289218,231,21.3167746917174,61
260,22.0073353192131,214,18.9057903262446,94,21.3777767870518,61,21.0310546749917,61
270,21.8811742094655,214,18.5957363922893,94,21.2447356387018,61,20.7513764277939,61
280,23.2841399109291,214,19.2089879570201,94,20.9256408168817,61,21.0506738782446,61
290,21.1070752602248,214,18.9339031016771,94,21.771412501177,61,29.4290728189641,61
300,22.5130476804353,214,18.6993947450503,94,19.9667213695992,61,20.4312693203566,61
