name,initial_altitude,inclination,initial_latitude,initial_longitude,sat_type
1,558.999999999999,43,42.737652,-71.68378,LEO
2,559,43,41.0995765210828,-44.6435125577983,LEO
3,559,43,33.2087757365568,-21.332361833065,LEO
4,559.000000000001,43,21.3680492526451,-2.96211294521146,LEO
5,559,43,7.58654018320818,12.2255966680785,LEO
6,559.000000000001,43,-6.78046879487156,26.3543525232637,LEO
7,559.000000000002,43,-20.6266256793752,41.4273931547522,LEO
8,558.999999999999,43,-32.6232278629575,59.5605624793507,LEO
9,559,43,-40.801932593384,82.5802794196372,LEO
10,559,43,-42.8359975557269,109.530096594662,LEO
11,559,43,-37.9462836676436,135.24717899671,LEO
12,559,43,-27.8556542077477,156.058683240967,LEO
13,559,43,-14.8762368805534,172.622603433335,LEO
14,558.999999999999,43,-0.669918891027394,-172.95343690287,LEO
15,559,43,13.5869253865597,-158.621925579077,LEO
16,558.999999999999,43,26.7398149046356,-142.348357183858,LEO
17,559,43,37.1892408776015,-122.004454445725,LEO
18,559,43,42.737652,-84.48378,LEO
19,559,43,41.0995765210828,-57.4435125577983,LEO
20,559,43,33.2087757365568,-34.1323618330649,LEO
21,559,43,21.3680492526451,-15.7621129452115,LEO
22,559,43,7.58654018320818,-0.574403331921486,LEO
23,559.000000000001,43,-6.78046879487156,13.5543525232637,LEO
24,559,43,-20.6266256793752,28.6273931547523,LEO
25,559,43,-32.6232278629575,46.7605624793507,LEO
26,559,43,-40.801932593384,69.7802794196372,LEO
27,559,43,-42.8359975557269,96.7300965946616,LEO
28,558.999999999998,43,-37.9462836676436,122.44717899671,LEO
29,559,43,-27.8556542077477,143.258683240967,LEO
30,559,43,-14.8762368805534,159.822603433335,LEO
31,558.999999999998,43,-0.669918891027394,174.24656309713,LEO
32,559,43,13.5869253865597,-171.421925579077,LEO
33,558.999999999999,43,26.7398149046356,-155.148357183858,LEO
34,559,43,37.1892408776015,-134.804454445725,LEO
35,559,43,42.737652,-97.28378,LEO
36,559,43,41.0995765210828,-70.2435125577984,LEO
37,558.999999999999,43,33.2087757365568,-46.932361833065,LEO
38,559,43,21.3680492526451,-28.5621129452115,LEO
39,559.000000000001,43,7.58654018320818,-13.3744033319215,LEO
40,559,43,-6.78046879487156,0.754352523263646,LEO
41,559.000000000002,43,-20.6266256793752,15.8273931547522,LEO
42,558.999999999999,43,-32.6232278629575,33.9605624793507,LEO
43,559,43,-40.801932593384,56.9802794196371,LEO
44,559,43,-42.8359975557269,83.9300965946616,LEO
45,558.999999999998,43,-37.9462836676436,109.64717899671,LEO
46,559,43,-27.8556542077477,130.458683240967,LEO
47,559,43,-14.8762368805534,147.022603433335,LEO
48,558.999999999999,43,-0.669918891027394,161.44656309713,LEO
49,559,43,13.5869253865597,175.778074420923,LEO
50,558.999999999999,43,26.7398149046356,-167.948357183858,LEO
51,559,43,37.1892408776015,-147.604454445725,LEO
52,558.999999999999,43,-42.737652,71.68378,LEO
53,559,43,-37.491875684494,97.175290189174,LEO
54,559,43,-27.1809401519887,117.701683693513,LEO
55,559,43,-14.0945473997459,134.087027073544,LEO
56,559,43,0.143608550618381,148.452772442862,LEO
57,559,43,14.370935192659,162.838333964807,LEO
58,559.000000000001,43,27.420147001358,179.285917693549,LEO
59,559,43,37.6541745996438,-160.087434150265,LEO
60,559,43,42.7749790198253,-134.514927016531,LEO
61,559,43,40.9968054151029,-107.504427002778,LEO
62,559,43,33.003447537999,-84.2958643383809,LEO
63,559,43,21.1069636002862,-66.0100493583311,LEO
64,559,43,7.30215667946634,-50.8635997896562,LEO
65,559,43,-7.06524080840575,-36.7355618557988,LEO
66,559,43,-20.8890475086352,-21.6228143265392,LEO
67,558.999999999999,43,-32.8313434224778,-3.4066815742281,LEO
68,559,43,-40.9093200317157,19.7162151731067,LEO
69,559,43,-42.737652,84.48378,LEO
70,559,43,-37.491875684494,109.975290189174,LEO
71,559,43,-27.1809401519887,130.501683693513,LEO
72,559,43,-14.0945473997459,146.887027073544,LEO
73,559.000000000001,43,0.143608550618381,161.252772442862,LEO
74,559,43,14.370935192659,175.638333964807,LEO
75,559.000000000001,43,27.420147001358,-167.914082306451,LEO
76,559,43,37.6541745996438,-147.287434150265,LEO
77,559,43,42.7749790198253,-121.714927016531,LEO
78,559,43,40.9968054151029,-94.7044270027777,LEO
79,559,43,33.003447537999,-71.4958643383809,LEO
80,559,43,21.1069636002862,-53.2100493583311,LEO
81,559,43,7.30215667946634,-38.0635997896562,LEO
82,558.999999999999,43,-7.06524080840575,-23.9355618557988,LEO
83,559,43,-20.8890475086352,-8.82281432653922,LEO
84,558.999999999999,43,-32.8313434224778,9.39331842577189,LEO
85,559,43,-40.9093200317157,32.5162151731067,LEO
86,559,43,-42.737652,97.28378,LEO
87,559,43,-37.491875684494,122.775290189174,LEO
88,559,43,-27.1809401519887,143.301683693513,LEO
89,559,43,-14.0945473997459,159.687027073544,LEO
90,559.000000000002,43,0.143608550618381,174.052772442862,LEO
91,559,43,14.370935192659,-171.561666035193,LEO
92,559.000000000001,43,27.420147001358,-155.114082306451,LEO
93,559,43,37.6541745996438,-134.487434150265,LEO
94,559,43,42.7749790198253,-108.914927016531,LEO
95,559,43,40.9968054151029,-81.9044270027777,LEO
96,559.000000000002,43,33.003447537999,-58.6958643383809,LEO
97,559,43,21.1069636002862,-40.4100493583311,LEO
98,559,43,7.30215667946634,-25.2635997896562,LEO
99,558.999999999999,43,-7.06524080840575,-11.1355618557988,LEO
100,559,43,-20.8890475086352,3.9771856734608,LEO
101,558.999999999999,43,-32.8313434224778,22.1933184257719,LEO
102,559,43,-40.9093200317157,45.3162151731068,LEO
103,547.000000000002,53,42.279594,-73.732124,LEO
104,547,53,51.5192918729039,-46.9487074625866,LEO
105,547,53,51.9123170167161,-13.841864408551,LEO
106,547.000000000001,53,43.2296583465289,13.6908611835747,LEO
107,547.000000000001,53,29.3534141686422,32.3105263327388,LEO
108,547,53,13.2501604339601,45.7564627107236,LEO
109,547.000000000001,53,-3.59893233122183,57.2857505749688,LEO
110,547,53,-20.2588310692387,69.3099494672158,LEO
111,547,53,-35.6579372378551,84.4807096550901,LEO
112,546.999999999999,53,-47.8019549996614,106.558199484843,LEO
113,546.999999999998,53,-52.9935272885136,137.694925552095,LEO
114,547,53,-48.4484958739919,169.296037788701,LEO
115,547,53,-36.6547118139151,-167.986992556236,LEO
116,546.999999999999,53,-21.4028645971077,-152.46592767997,LEO
117,547,53,-4.79128736595962,-140.316274729204,LEO
118,546.999999999998,53,12.073219929904,-128.827570465188,LEO
119,546.999999999999,53,28.266647238975,-115.608460880485,LEO
120,547.000000000001,53,42.279594,-78.732124,LEO
121,547.000000000001,53,51.5192918729039,-51.9487074625866,LEO
122,547,53,51.9123170167161,-18.841864408551,LEO
123,547.000000000001,53,43.2296583465289,8.69086118357469,LEO
124,547.000000000001,53,29.3534141686422,27.3105263327388,LEO
125,547,53,13.2501604339601,40.7564627107236,LEO
126,547.000000000001,53,-3.59893233122183,52.2857505749688,LEO
127,546.999999999999,53,-20.2588310692387,64.3099494672158,LEO
128,547,53,-35.6579372378551,79.4807096550901,LEO
129,546.999999999999,53,-47.8019549996614,101.558199484843,LEO
130,546.999999999998,53,-52.9935272885136,132.694925552095,LEO
131,546.999999999998,53,-48.4484958739919,164.296037788701,LEO
132,547,53,-36.6547118139151,-172.986992556236,LEO
133,547.000000000001,53,-21.4028645971077,-157.46592767997,LEO
134,547,53,-4.79128736595962,-145.316274729204,LEO
135,546.999999999998,53,12.073219929904,-133.827570465188,LEO
136,546.999999999999,53,28.266647238975,-120.608460880485,LEO
137,547.000000000002,53,42.279594,-83.732124,LEO
138,547.000000000001,53,51.5192918729039,-56.9487074625867,LEO
139,547,53,51.9123170167161,-23.841864408551,LEO
140,547.000000000001,53,43.2296583465289,3.69086118357466,LEO
141,547.000000000001,53,29.3534141686422,22.3105263327387,LEO
142,547,53,13.2501604339601,35.7564627107236,LEO
143,547.000000000001,53,-3.59893233122183,47.2857505749688,LEO
144,547,53,-20.2588310692387,59.3099494672158,LEO
145,547,53,-35.6579372378551,74.4807096550901,LEO
146,546.999999999999,53,-47.8019549996614,96.5581994848431,LEO
147,546.999999999998,53,-52.9935272885136,127.694925552095,LEO
148,546.999999999998,53,-48.4484958739919,159.296037788701,LEO
149,547,53,-36.6547118139151,-177.986992556236,LEO
150,546.999999999999,53,-21.4028645971077,-162.46592767997,LEO
151,547,53,-4.79128736595962,-150.316274729204,LEO
152,546.999999999998,53,12.073219929904,-138.827570465188,LEO
153,546.999999999999,53,28.266647238975,-125.608460880485,LEO
154,547.000000000002,53,42.279594,-88.732124,LEO
155,547.000000000001,53,51.5192918729039,-61.9487074625867,LEO
156,547,53,51.9123170167161,-28.841864408551,LEO
157,547.000000000001,53,43.2296583465289,-1.30913881642533,LEO
158,547.000000000001,53,29.3534141686422,17.3105263327387,LEO
159,547.000000000001,53,13.2501604339601,30.7564627107236,LEO
160,547.000000000001,53,-3.59893233122183,42.2857505749688,LEO
161,547,53,-20.2588310692387,54.3099494672158,LEO
162,547,53,-35.6579372378551,69.4807096550901,LEO
163,546.999999999999,53,-47.8019549996614,91.5581994848431,LEO
164,546.999999999998,53,-52.9935272885136,122.694925552095,LEO
165,547,53,-48.4484958739919,154.296037788701,LEO
166,547,53,-36.6547118139151,177.013007443764,LEO
167,546.999999999999,53,-21.4028645971077,-167.46592767997,LEO
168,547,53,-4.79128736595962,-155.316274729204,LEO
169,546.999999999997,53,12.073219929904,-143.827570465188,LEO
170,546.999999999999,53,28.266647238975,-130.608460880485,LEO
171,547.000000000002,53,42.279594,-93.732124,LEO
172,547.000000000001,53,51.5192918729039,-66.9487074625867,LEO
173,547,53,51.9123170167161,-33.841864408551,LEO
174,547.000000000001,53,43.2296583465289,-6.30913881642532,LEO
175,547.000000000001,53,29.3534141686422,12.3105263327388,LEO
176,547.000000000001,53,13.2501604339601,25.7564627107236,LEO
177,547.000000000001,53,-3.59893233122183,37.2857505749688,LEO
178,547,53,-20.2588310692387,49.3099494672158,LEO
179,547,53,-35.6579372378551,64.4807096550902,LEO
180,546.999999999999,53,-47.8019549996614,86.5581994848431,LEO
181,546.999999999998,53,-52.9935272885136,117.694925552095,LEO
182,546.999999999998,53,-48.4484958739919,149.296037788701,LEO
183,547,53,-36.6547118139151,172.013007443764,LEO
184,546.999999999999,53,-21.4028645971077,-172.46592767997,LEO
185,546.999999999999,53,-4.79128736595962,-160.316274729204,LEO
186,546.999999999998,53,12.073219929904,-148.827570465188,LEO
187,546.999999999999,53,28.266647238975,-135.608460880485,LEO
188,547.000000000002,53,-42.279594,73.732124,LEO
189,547,53,-28.147327076248,91.7988258221241,LEO
190,547.000000000002,53,-11.9444570614717,104.994104759854,LEO
191,547.000000000001,53,4.92146940940797,116.479070624217,LEO
192,546.999999999999,53,21.5274562636611,128.64321256332,LEO
193,546.999999999999,53,36.7626239926522,144.203728170566,LEO
194,546.999999999998,53,48.5169564786491,166.991482238245,LEO
195,547,53,52.9903905272648,-161.359827130478,LEO
196,546.999999999999,53,47.7292053540105,-130.276840693193,LEO
197,546.999999999999,53,35.5481048897274,-108.268227368722,LEO
198,547,53,20.1334933022843,-93.1345615387851,LEO
199,546.999999999999,53,3.46862397051201,-81.1232894116443,LEO
200,547,53,-13.3785190583022,-69.5888710522564,LEO
201,547,53,-29.4715072255238,-56.1171977257367,LEO
202,547.000000000001,53,-43.3215856667634,-37.441629408655,LEO
203,547.000000000001,53,-51.9478965013655,-9.83581482909327,LEO
204,546.999999999999,53,-51.4775008135646,23.2661392450079,LEO
205,547.000000000001,53,-42.279594,78.732124,LEO
206,547,53,-28.147327076248,96.7988258221241,LEO
207,547.000000000002,53,-11.9444570614717,109.994104759854,LEO
208,547.000000000001,53,4.92146940940797,121.479070624217,LEO
209,547,53,21.5274562636611,133.64321256332,LEO
210,546.999999999999,53,36.7626239926522,149.203728170566,LEO
211,546.999999999997,53,48.5169564786491,171.991482238245,LEO
212,547,53,52.9903905272648,-156.359827130478,LEO
213,546.999999999999,53,47.7292053540105,-125.276840693193,LEO
214,546.999999999999,53,35.5481048897274,-103.268227368722,LEO
215,547,53,20.1334933022842,-88.1345615387851,LEO
216,546.999999999999,53,3.46862397051201,-76.1232894116443,LEO
217,546.999999999999,53,-13.3785190583022,-64.5888710522564,LEO
218,547,53,-29.4715072255238,-51.1171977257367,LEO
219,547.000000000001,53,-43.3215856667634,-32.441629408655,LEO
220,547.000000000001,53,-51.9478965013655,-4.83581482909327,LEO
221,546.999999999999,53,-51.4775008135646,28.2661392450079,LEO
222,547.000000000002,53,-42.279594,83.732124,LEO
223,547,53,-28.147327076248,101.798825822124,LEO
224,547.000000000001,53,-11.9444570614717,114.994104759854,LEO
225,547.000000000001,53,4.92146940940797,126.479070624217,LEO
226,546.999999999999,53,21.5274562636611,138.64321256332,LEO
227,546.999999999999,53,36.7626239926522,154.203728170566,LEO
228,546.999999999998,53,48.5169564786491,176.991482238245,LEO
229,547,53,52.9903905272648,-151.359827130478,LEO
230,546.999999999999,53,47.7292053540105,-120.276840693193,LEO
231,546.999999999999,53,35.5481048897274,-98.2682273687222,LEO
232,547,53,20.1334933022843,-83.1345615387851,LEO
233,546.999999999999,53,3.46862397051201,-71.1232894116443,LEO
234,547,53,-13.3785190583022,-59.5888710522564,LEO
235,547,53,-29.4715072255238,-46.1171977257367,LEO
236,547.000000000001,53,-43.3215856667634,-27.441629408655,LEO
237,547.000000000001,53,-51.9478965013655,0.164185170906748,LEO
238,546.999999999999,53,-51.4775008135646,33.2661392450079,LEO
239,547.000000000002,53,-42.279594,88.732124,LEO
240,547,53,-28.147327076248,106.798825822124,LEO
241,547.000000000001,53,-11.9444570614717,119.994104759854,LEO
242,547.000000000002,53,4.92146940940797,131.479070624217,LEO
243,547,53,21.5274562636611,143.64321256332,LEO
244,546.999999999999,53,36.7626239926522,159.203728170566,LEO
245,546.999999999998,53,48.5169564786491,-178.008517761755,LEO
246,547,53,52.9903905272648,-146.359827130478,LEO
247,546.999999999999,53,47.7292053540105,-115.276840693193,LEO
248,546.999999999999,53,35.5481048897274,-93.2682273687222,LEO
249,547,53,20.1334933022842,-78.1345615387851,LEO
250,546.999999999999,53,3.46862397051201,-66.1232894116443,LEO
251,547,53,-13.3785190583022,-54.5888710522564,LEO
252,547,53,-29.4715072255238,-41.1171977257367,LEO
253,547.000000000001,53,-43.3215856667634,-22.441629408655,LEO
254,547.000000000001,53,-51.9478965013655,5.16418517090674,LEO
255,546.999999999999,53,-51.4775008135646,38.2661392450079,LEO
256,547.000000000002,53,-42.279594,93.732124,LEO
257,547,53,-28.147327076248,111.798825822124,LEO
258,547.000000000001,53,-11.9444570614717,124.994104759854,LEO
259,547.000000000001,53,4.92146940940797,136.479070624217,LEO
260,547,53,21.5274562636611,148.64321256332,LEO
261,546.999999999999,53,36.7626239926522,164.203728170566,LEO
262,546.999999999998,53,48.5169564786491,-173.008517761755,LEO
263,547,53,52.9903905272648,-141.359827130478,LEO
264,546.999999999999,53,47.7292053540105,-110.276840693193,LEO
265,546.999999999999,53,35.5481048897274,-88.2682273687222,LEO
266,547.000000000001,53,20.1334933022842,-73.1345615387851,LEO
267,546.999999999999,53,3.46862397051201,-61.1232894116443,LEO
268,547,53,-13.3785190583022,-49.5888710522564,LEO
269,547,53,-29.4715072255238,-36.1171977257367,LEO
270,547.000000000001,53,-43.3215856667634,-17.441629408655,LEO
