name,initial_altitude,inclination,initial_latitude,initial_longitude,sat_type
EastLansing1,550,53.2,0.737918121706439,-1.46140125348816,LEO
EastLansing2,550,53.2,0.744317858936192,-1.45006085650964,LEO
EastLansing3,549.999999999999,53.2,0.750644146681999,-1.43857815728906,LEO
EastLansing4,549.999999999999,53.2,0.756895169557204,-1.42695134279273,LEO
EastLansing5,550,53.2,0.763069079221921,-1.41517866285352,LEO
EastLansing6,550,53.2,0.76916399482252,-1.40325843716521,LEO
EastLansing7,549.999999999998,53.2,0.775178003543628,-1.3911890626158,LEO
EastLansing8,549.999999999998,53.2,0.781109161280297,-1.37896902095599,LEO
EastLansing9,550,53.2,0.786955493438142,-1.36659688679626,LEO
EastLansing10,550,53.2,0.792714995869262,-1.35407133592304,LEO
EastLansing11,550,53.2,0.798385635951782,-1.34139115392082,LEO
EastLansing12,549.999999999999,53.2,0.803965353820774,-1.32855524508367,LEO
EastLansing13,549.999999999999,53.2,0.809452063758164,-1.31556264159545,LEO
EastLansing14,550,53.2,0.814843655749014,-1.30241251295383,LEO
EastLansing15,549.999999999999,53.2,0.820137997211247,-1.28910417560858,LEO
EastLansing16,550,53.2,0.825332934905463,-1.27563710277984,LEO
EastLansing17,550.000000000001,53.2,0.830426297030971,-1.2620109344172,LEO
EastLansing18,550.000000000002,53.2,0.835415895513522,-1.24822548725475,LEO
EastLansing19,550,53.2,0.840299528489468,-1.23428076491244,LEO
EastLansing20,549.999999999999,53.2,0.845074982990172,-1.22017696798815,LEO
EastLansing21,550,53.2,0.849740037829492,-1.20591450407972,LEO
EastLansing22,550,53.2,0.854292466695965,-1.1914939976705,LEO
EastLansing23,550.000000000001,53.2,0.858730041450068,-1.17691629980696,LEO
EastLansing24,549.999999999999,53.2,0.863050535625448,-1.1621824974915,LEO
EastLansing25,550,53.2,0.867251728131468,-1.14729392270927,LEO
EastLansing26,550,53.2,0.871331407152706,-1.13225216100321,LEO
EastLansing27,550,53.2,0.875287374239222,-1.11705905950811,LEO
EastLansing28,550,53.2,0.879117448579456,-1.10171673435122,LEO
EastLansing29,549.999999999999,53.2,0.882819471445608,-1.08622757732512,LEO
EastLansing30,549.999999999999,53.2,0.886391310799221,-1.070594261737,LEO
EastLansing31,550,53.2,0.889830866042521,-1.05481974733869,LEO
EastLansing32,550,53.2,0.893136072898872,-1.03890728424256,LEO
EastLansing33,550,53.2,0.896304908403488,-1.02286041573097,LEO
EastLansing34,550,53.2,0.899335395983361,-1.00668297987061,LEO
EastLansing35,550.000000000001,53.2,0.902225610603255,-0.990379109848318,LEO
EastLansing36,550,53.2,0.904973683952581,-0.973953232951641,LEO
EastLansing37,549.999999999999,53.2,0.907577809646084,-0.957410068125639,LEO
EastLansing38,549.999999999999,53.2,0.910036248409568,-0.940754622047341,LEO
EastLansing39,550,53.2,0.912347333220361,-0.923992183670338,LEO
EastLansing40,550.000000000001,53.2,0.91450947437101,-0.907128317204791,LEO
EastLansing41,550,53.2,0.9165211644237,-0.890168853512027,LEO
EastLansing42,550.000000000001,53.2,0.918380983022287,-0.873119879907994,LEO
EastLansing43,549.999999999999,53.2,0.920087601528518,-0.855987728385907,LEO
EastLansing44,549.999999999998,53.2,0.921639787449157,-0.838778962285152,LEO
EastLansing45,550,53.2,0.923036408621155,-0.821500361450768,LEO
EastLansing46,549.999999999999,53.2,0.92427643712299,-0.804158905945245,LEO
EastLansing47,549.999999999999,53.2,0.925358952881561,-0.786761758391693,LEO
EastLansing48,549.999999999999,53.2,0.926283146945777,-0.769316245044319,LEO
EastLansing49,550,53.2,0.927048324400125,-0.751829835698266,LEO
EastLansing50,549.999999999998,53.2,0.92765390689401,-0.734310122565957,LEO
EastLansing51,550.000000000001,53.2,0.928099434765542,-0.716764798260763,LEO
EastLansing52,550,53.2,0.928384568741626,-0.699201633040823,LEO
EastLansing53,550.000000000001,53.2,0.928509091199709,-0.681628451475983,LEO
EastLansing54,550,53.2,0.928472906980209,-0.664053108708748,LEO
EastLansing55,550,53.2,0.92827604374252,-0.646483466485829,LEO
EastLansing56,550,53.2,0.927918651861487,-0.628927369140046,LEO
EastLansing57,550,53.2,0.927401003865252,-0.61139261970306,LEO
EastLansing58,550,53.2,0.92672349341939,-0.593886956327562,LEO
EastLansing59,549.999999999999,53.2,0.925886633866197,-0.576418029193255,LEO
EastLansing60,550.000000000001,53.2,0.924891056331786,-0.558993378064206,LEO
EastLansing61,549.999999999999,53.2,0.923737507417239,-0.541620410656234,LEO
EastLansing62,550.000000000001,53.2,0.922426846493436,-0.524306381961985,LEO
EastLansing63,549.999999999999,53.2,0.920960042622221,-0.507058374668537,LEO
