name,initial_altitude,inclination,initial_latitude,initial_longitude,sat_type
G1,35786,0,0,-90,GEO
NewHampshire,559,43,42.737652,-71.68378,LEO
EastLansing,559,43,42.737652,-84.48378,LEO
SouthDakota,559,43,42.737652,-97.28378,LEO
AntiNewHampshire,559,43,-42.737652,71.68378,LEO
AntiEastLansing,559,43,-42.737652,84.48378,LEO
AntiSouthDakota,559,43,-42.737652,97.28378,LEO
NewYork,547,53,42.279594,-73.732124,LEO
Erie,547,53,42.279594,-78.732124,LEO
AnnArbor,547,53,42.279594,-83.732124,LEO
Wisc,547,53,42.279594,-88.732124,LEO
Iowa,547,53,42.279594,-93.732124,LEO
AntiNewYork,547,53,-42.279594,73.732124,LEO
AntiErie,547,53,-42.279594,78.732124,LEO
AntiAnnArbor,547,53,-42.279594,83.732124,LEO
AntiWisc,547,53,-42.279594,88.732124,LEO
AntiIowa,547,53,-42.279594,93.732124,LEO
TraverseCity,572,70,44.7631,-85.6206,LEO
Escanaba,560,97.6,45.745312,-87.070457,LEO
AntiTraverseCity,572,70,-44.7631,85.6206,LEO
AntiEscanaba,560,97.6,-45.745312,87.070457,LEO
